ele_info,comune,provincia,regione,ele_f,ele_m,ele_t,perc,perc_r,vot_t,data,ora,update_number,perc_diff
Regionali Speciali,Monte San Pietro,Bologna,Emilia-Romagna,4608,4488,9096,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Monte San Pietro,Bologna,Emilia-Romagna,4608,4488,9096,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Monzuno,Bologna,Emilia-Romagna,2532,2658,5190,12.29,24.56,638,2024-11-17,12:00,0,-12.27
Regionali Speciali,Monzuno,Bologna,Emilia-Romagna,2532,2658,5190,27.88,59.27,1447,2024-11-17,19:00,1,-31.39
Regionali Speciali,Monzuno,Bologna,Emilia-Romagna,2532,2658,5190,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Monzuno,Bologna,Emilia-Romagna,2532,2658,5190,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Mordano,Bologna,Emilia-Romagna,1745,1780,3525,12.17,26.63,429,2024-11-17,12:00,0,-14.46
Regionali Speciali,Mordano,Bologna,Emilia-Romagna,1745,1780,3525,36.74,64.23,1295,2024-11-17,19:00,1,-27.49
Regionali Speciali,Mordano,Bologna,Emilia-Romagna,1745,1780,3525,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Mordano,Bologna,Emilia-Romagna,1745,1780,3525,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Ozzano Dell'Emilia,Bologna,Emilia-Romagna,5871,5594,11465,13.21,26.54,1514,2024-11-17,12:00,0,-13.33
Regionali Speciali,Ozzano Dell'Emilia,Bologna,Emilia-Romagna,5871,5594,11465,36.35,64.8,4168,2024-11-17,19:00,1,-28.45
Regionali Speciali,Ozzano Dell'Emilia,Bologna,Emilia-Romagna,5871,5594,11465,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Ozzano Dell'Emilia,Bologna,Emilia-Romagna,5871,5594,11465,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Pianoro,Bologna,Emilia-Romagna,7394,7190,14584,12.86,26.59,1876,2024-11-17,12:00,0,-13.73
Regionali Speciali,Pianoro,Bologna,Emilia-Romagna,7394,7190,14584,33.98,63.48,4955,2024-11-17,19:00,1,-29.5
Regionali Speciali,Pianoro,Bologna,Emilia-Romagna,7394,7190,14584,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Pianoro,Bologna,Emilia-Romagna,7394,7190,14584,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Pieve Di Cento,Bologna,Emilia-Romagna,3042,2985,6027,11.88,25.0,716,2024-11-17,12:00,0,-13.12
Regionali Speciali,Pieve Di Cento,Bologna,Emilia-Romagna,3042,2985,6027,35.54,64.6,2142,2024-11-17,19:00,1,-29.06
Regionali Speciali,Pieve Di Cento,Bologna,Emilia-Romagna,3042,2985,6027,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Pieve Di Cento,Bologna,Emilia-Romagna,3042,2985,6027,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,Sala Bolognese,Bologna,Emilia-Romagna,3413,3422,6835,13.46,25.68,920,2024-11-17,12:00,0,-12.22
Regionali Speciali,Sala Bolognese,Bologna,Emilia-Romagna,3413,3422,6835,36.08,65.77,2466,2024-11-17,19:00,1,-29.69
Regionali Speciali,Sala Bolognese,Bologna,Emilia-Romagna,3413,3422,6835,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,Sala Bolognese,Bologna,Emilia-Romagna,3413,3422,6835,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,1697,1810,3507,11.12,25.35,390,2024-11-17,12:00,0,-14.23
Regionali Speciali,San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,1697,1810,3507,31.05,62.62,1089,2024-11-17,19:00,1,-31.57
Regionali Speciali,San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,1697,1810,3507,0.0,0.0,0,2024-11-17,23:00,2,0.0
Regionali Speciali,San Benedetto Val Di Sambro,Bologna,Emilia-Romagna,1697,1810,3507,0.0,0.0,0,2024-11-18,15:00,3,0.0
Regionali Speciali,San Giorgio Di Piano,Bologna,Emilia-Romagna,3829,3635,7464,12.81,26.03,956,2024-11-17,12:00,0,-13.22
