comune,provincia,regione,url,MICHELE DE PASCALE_total,MICHELE DE PASCALE_perc,ELENA UGOLINI_total,ELENA UGOLINI_perc,FEDERICO SERRA_total,FEDERICO SERRA_perc,LUCA TEODORI_total,LUCA TEODORI_perc,perc_diff
Sala Baganza,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560310,1118,"56,58",800,"40,49",39,"1,97",19,"0,96",39.75
Salsomaggiore Terme,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560320,3070,"50,39",2893,"47,48",74,"1,21",56,"0,92",6.12
San Secondo Parmense,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560330,961,"49,90",905,"46,99",41,"2,13",19,"0,99",6.19
Sissa Trecasali,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560345,1082,"45,42",1230,"51,64",41,"1,72",29,"1,22",-12.03
Solignano,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560350,253,"44,54",298,"52,46",15,"2,64",2,"0,35",-15.1
Soragna,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560360,716,"39,32",1059,"58,15",21,"1,15",25,"1,37",-32.39
Sorbolo Mezzani,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560375,2078,"52,36",1763,"44,42",69,"1,74",59,"1,49",17.87
Terenzo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560380,174,"45,19",200,"51,95",5,"1,30",6,"1,56",-13.0
Tizzano Val Parma,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560390,387,"47,20",400,"48,78",20,"2,44",13,"1,59",-3.25
Tornolo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560400,157,"37,20",263,"62,32",1,"0,24",1,"0,24",-40.3
Torrile,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560410,1054,"50,62",913,"43,85",86,"4,13",29,"1,39",15.44
Traversetolo,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560420,1388,"40,94",1869,"55,13",71,"2,09",62,"1,83",-25.74
Valmozzola,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560440,72,"40,45",98,"55,06",5,"2,81",3,"1,69",-26.53
Varano De' Melegari,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560450,468,"47,71",497,"50,66",8,"0,82",8,"0,82",-5.84
Varsi,Parma,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080560460,151,"37,94",241,"60,55",4,"1,01",2,"0,50",-37.34
Agazzano,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610010,251,"37,02",405,"59,73",11,"1,62",11,"1,62",-38.02
Alseno,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610020,548,"32,60",1100,"65,44",19,"1,13",14,"0,83",-50.18
Alta Val Tidone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610025,358,"31,38",752,"65,91",29,"2,54",2,"0,18",-52.39
Besenzone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610030,88,"25,51",253,"73,33",2,"0,58",2,"0,58",-65.22
Bettola,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610040,305,"29,99",688,"67,65",8,"0,79",16,"1,57",-55.67
Bobbio,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610050,569,"39,38",849,"58,75",24,"1,66",3,"0,21",-32.98
Borgonovo Val Tidone,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610060,780,"36,97",1296,"61,42",21,"1,00",13,"0,62",-39.81
Cadeo,Piacenza,Emilia-Romagna,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/080610070,645,"36,65",1083,"61,53",20,"1,14",12,"0,68",-40.44
