comune,provincia,regione,url,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE,PARTITO DEMOCRATICO ANDREA ORLANDO PRESIDENTE_perc,LISTA ANDREA ORLANDO PRESIDENTE,LISTA ANDREA ORLANDO PRESIDENTE_perc,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA,ALLEANZA VERDI E SINISTRA - LISTA SANSA - POSSIBILE - EUROPA VERDE - SINISTRA ITALIANA_perc,MOVIMENTO 5 STELLE 2050,MOVIMENTO 5 STELLE 2050_perc,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA,PATTO CIVICO E RIFORMISTA PER ORLANDO - AZIONE CON CALENDA - PRI - REPUBBLICANI EUROPEI - PER - ALLEANZA CIVICA LIGURIA_perc,LIGURI A TESTA ALTA ORLANDO PRESIDENTE,LIGURI A TESTA ALTA ORLANDO PRESIDENTE_perc,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA,GIORGIA MELONI PER BUCCI PRESIDENTE FRATELLI D'ITALIA_perc,ORGOGLIO LIGURIA BUCCI PRESIDENTE,ORGOGLIO LIGURIA BUCCI PRESIDENTE_perc,BUCCI PRESIDENTE VINCE LIGURIA,BUCCI PRESIDENTE VINCE LIGURIA_perc,LEGA LIGURIA BUCCI PRESIDENTE,LEGA LIGURIA BUCCI PRESIDENTE_perc,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE,FORZA ITALIA BERLUSCONI BUCCI PRESIDENTE PPE_perc,BUCCI LIBERTAS UDC,BUCCI LIBERTAS UDC_perc,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE,ALTERNATIVA POPOLARE CON BANDECCHI PER BUCCI PPE_perc,UNITI PER LA COSTITUZIONE,UNITI PER LA COSTITUZIONE_perc,DEMOCRAZIA SOVRANA POPOLARE,DEMOCRAZIA SOVRANA POPOLARE_perc,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA,PER L'ALTERNATIVA - POTERE AL POPOLO! - PCI - RIFONDAZIONE PARTITO COMUNISTA SINISTRA EUROPEA_perc,FORZA DEL POPOLO,FORZA DEL POPOLO_perc,PARTITO COMUNISTA DEI LAVORATORI,PARTITO COMUNISTA DEI LAVORATORI_perc,INDIPENDENZA! ALEMANNO PER ROSSON,INDIPENDENZA! ALEMANNO PER ROSSON_perc,PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA',PARTITO POPOLARE DEL NORD AUTONOMIA E LIBERTA'_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,NICOLA MORRA_total_votes,NICOLA MORRA_total_perc,FRANCESCO TOSCANO_total_votes,FRANCESCO TOSCANO_total_perc,NICOLA ROLLANDO_total_votes,NICOLA ROLLANDO_total_perc,DAVIDE FELICE_total_votes,DAVIDE FELICE_total_perc,MARCO GIUSEPPE FERRANDO_total_votes,MARCO GIUSEPPE FERRANDO_total_perc,ALESSANDRO ROSSON_total_votes,ALESSANDRO ROSSON_total_perc,MARIA ANTONIETTA CELLA_total_votes,MARIA ANTONIETTA CELLA_total_perc,,None_perc
Borgio Verezzi,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740130,187,"22,61",38,"4,59",25,"3,02",23,"2,78",41,"4,96",6,"0,73",150,"18,14",19,"2,30",81,"9,79",119,"14,39",93,"11,25",6,"0,73",2,"0,24",3,"0,36",12,"1,45",7,"0,85",2,"0,24",9.0,"1,09",4,"0,48",,,340,"38,99",494,"56,65",2,"0,23",12,"1,38",7,"0,80",3,"0,34",9,"1,03",4,"0,46",1,"0,11",,0
Bormida,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740140,28,"22,95",0,0,4,"3,28",3,"2,46",0,0,6,"4,92",18,"14,75",0,0,11,"9,02",10,"8,20",35,"28,69",0,0,2,"1,64",2,"1,64",1,"0,82",2,"1,64",0,0,0.0,0,0,0,,,42,"32,81",79,"61,72",2,"1,56",2,"1,56",2,"1,56",0,0,0,0,0,0,1,"0,78",,0
Cairo Montenotte,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740150,1179,"33,86",132,"3,79",146,"4,19",130,"3,73",23,"0,66",198,"5,69",523,"15,02",94,"2,70",373,"10,71",297,"8,53",244,"7,01",14,"0,40",7,"0,20",20,"0,57",29,"0,83",20,"0,57",21,"0,60",18.0,"0,52",14,"0,40",,,1889,"51,46",1636,"44,57",24,"0,65",32,"0,87",22,"0,60",27,"0,74",22,"0,60",14,"0,38",5,"0,14",,0
Calice Ligure,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740160,146,"22,88",19,"2,98",111,"17,40",26,"4,08",20,"3,13",10,"1,57",104,"16,30",19,"2,98",53,"8,31",66,"10,34",43,"6,74",0,0,1,"0,16",5,"0,78",2,"0,31",2,"0,31",5,"0,78",4.0,"0,63",2,"0,31",,,350,"49,86",327,"46,58",5,"0,71",1,"0,14",3,"0,43",5,"0,71",6,"0,85",2,"0,28",3,"0,43",,0
Calizzano,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740170,122,"24,80",22,"4,47",19,"3,86",9,"1,83",1,"0,20",7,"1,42",87,"17,68",13,"2,64",54,"10,98",48,"9,76",78,"15,85",5,"1,02",0,0,5,"1,02",6,"1,22",8,"1,63",0,0,5.0,"1,02",3,"0,61",,,190,"36,26",304,"58,02",5,"0,95",6,"1,15",8,"1,53",1,"0,19",6,"1,15",4,"0,76",0,0,,0
Carcare,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740180,740,"38,93",61,"3,21",55,"2,89",51,"2,68",9,"0,47",133,"7,00",233,"12,26",37,"1,95",138,"7,26",97,"5,10",255,"13,41",11,"0,58",3,"0,16",15,"0,79",20,"1,05",20,"1,05",6,"0,32",9.0,"0,47",8,"0,42",,,1095,"55,36",799,"40,39",15,"0,76",20,"1,01",20,"1,01",6,"0,30",9,"0,46",8,"0,40",6,"0,30",,0
Casanova Lerrone,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740190,57,"30,32",8,"4,26",19,"10,11",2,"1,06",0,0,1,"0,53",23,"12,23",5,"2,66",28,"14,89",27,"14,36",11,"5,85",1,"0,53",0,0,0,0,0,0,1,"0,53",0,0,1.0,"0,53",4,"2,13",,,85,"42,08",110,"54,46",1,"0,50",0,0,1,"0,50",0,0,1,"0,50",4,"1,98",0,0,,0
Castelbianco,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740200,17,"13,82",14,"11,38",6,"4,88",4,"3,25",0,0,1,"0,81",11,"8,94",18,"14,63",8,"6,50",25,"20,33",13,"10,57",1,"0,81",0,0,0,0,1,"0,81",3,"2,44",0,0,0.0,0,1,"0,81",,,46,"36,22",76,"59,84",0,0,1,"0,79",3,"2,36",0,0,0,0,1,"0,79",0,0,,0
Castelvecchio Di Rocca Barbena,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740210,11,"14,86",0,0,0,0,1,"1,35",0,0,0,0,1,"1,35",0,0,4,"5,41",29,"39,19",27,"36,49",0,0,0,0,0,0,0,0,1,"1,35",0,0,0.0,0,0,0,,,12,"16,22",61,"82,43",0,0,0,0,1,"1,35",0,0,0,0,0,0,0,0,,0
Celle Ligure,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740220,614,"30,17",80,"3,93",135,"6,63",76,"3,73",26,"1,28",25,"1,23",275,"13,51",70,"3,44",370,"18,18",107,"5,26",125,"6,14",22,"1,08",4,"0,20",36,"1,77",25,"1,23",20,"0,98",14,"0,69",6.0,"0,29",5,"0,25",,,1047,"47,33",1050,"47,47",36,"1,63",27,"1,22",18,"0,81",12,"0,54",9,"0,41",6,"0,27",7,"0,32",,0
Cengio,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740230,271,"23,40",37,"3,20",22,"1,90",17,"1,47",4,"0,35",46,"3,97",109,"9,41",42,"3,63",442,"38,17",71,"6,13",51,"4,40",7,"0,60",3,"0,26",7,"0,60",11,"0,95",4,"0,35",7,"0,60",5.0,"0,43",2,"0,17",,,413,"34,65",738,"61,91",7,"0,59",13,"1,09",5,"0,42",8,"0,67",5,"0,42",2,"0,17",1,"0,08",,0
Ceriale,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740240,321,"18,35",91,"5,20",69,"3,95",47,"2,69",14,"0,80",13,"0,74",308,"17,61",37,"2,12",158,"9,03",317,"18,12",248,"14,18",11,"0,63",4,"0,23",9,"0,51",10,"0,57",13,"0,74",26,"1,49",11.0,"0,63",42,"2,40",,,587,"31,71",1156,"62,45",7,"0,38",10,"0,54",14,"0,76",28,"1,51",9,"0,49",40,"2,16",0,0,,0
Cisano Sul Neva,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740250,125,"13,30",324,"34,47",16,"1,70",9,"0,96",7,"0,74",1,"0,11",126,"13,40",21,"2,23",93,"9,89",108,"11,49",74,"7,87",5,"0,53",0,0,7,"0,74",9,"0,96",7,"0,74",4,"0,43",2.0,"0,21",2,"0,21",,,475,"49,69",447,"46,76",7,"0,73",9,"0,94",9,"0,94",4,"0,42",3,"0,31",2,"0,21",0,0,,0
Cosseria,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740260,82,"19,81",18,"4,35",7,"1,69",7,"1,69",1,"0,24",141,"34,06",51,"12,32",7,"1,69",37,"8,94",22,"5,31",25,"6,04",2,"0,48",0,0,7,"1,69",3,"0,72",1,"0,24",1,"0,24",2.0,"0,48",0,0,,,267,"61,66",152,"35,10",7,"1,62",3,"0,69",1,"0,23",1,"0,23",2,"0,46",0,0,0,0,,0
Dego,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740270,138,"25,37",21,"3,86",20,"3,68",14,"2,57",2,"0,37",25,"4,60",56,"10,29",19,"3,49",108,"19,85",71,"13,05",45,"8,27",7,"1,29",1,"0,18",4,"0,74",3,"0,55",4,"0,74",3,"0,55",3.0,"0,55",0,0,,,231,"40,17",328,"57,04",4,"0,70",3,"0,52",3,"0,52",3,"0,52",3,"0,52",0,0,0,0,,0
Erli,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740280,12,"14,12",3,"3,53",10,"11,76",3,"3,53",0,0,1,"1,18",4,"4,71",4,"4,71",35,"41,18",8,"9,41",1,"1,18",0,0,2,"2,35",0,0,2,"2,35",0,0,0,0,0.0,0,0,0,,,29,"31,87",59,"64,84",0,0,2,"2,20",1,"1,10",0,0,0,0,0,0,0,0,,0
Finale Ligure,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740290,893,"22,96",172,"4,42",367,"9,43",111,"2,85",99,"2,54",27,"0,69",679,"17,46",125,"3,21",451,"11,59",419,"10,77",371,"9,54",12,"0,31",5,"0,13",12,"0,31",53,"1,36",20,"0,51",20,"0,51",40.0,"1,03",14,"0,36",,,1827,"41,90",2335,"53,56",16,"0,37",65,"1,49",26,"0,60",26,"0,60",44,"1,01",16,"0,37",5,"0,11",,0
Garlenda,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740300,89,"19,87",12,"2,68",39,"8,71",8,"1,79",4,"0,89",4,"0,89",80,"17,86",11,"2,46",69,"15,40",64,"14,29",41,"9,15",8,"1,79",2,"0,45",2,"0,45",6,"1,34",3,"0,67",1,"0,22",3.0,"0,67",2,"0,45",,,158,"33,40",298,"63,00",2,"0,42",6,"1,27",3,"0,63",1,"0,21",3,"0,63",2,"0,42",0,0,,0
Giustenice,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740310,70,"17,95",15,"3,85",20,"5,13",19,"4,87",3,"0,77",3,"0,77",110,"28,21",8,"2,05",31,"7,95",60,"15,38",30,"7,69",0,0,1,"0,26",2,"0,51",9,"2,31",3,"0,77",0,0,3.0,"0,77",3,"0,77",,,142,"34,38",251,"60,77",2,"0,48",9,"2,18",3,"0,73",0,0,3,"0,73",3,"0,73",0,0,,0
Giusvalla,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740320,27,"21,26",1,"0,79",5,"3,94",5,"3,94",0,0,5,"3,94",12,"9,45",4,"3,15",20,"15,75",33,"25,98",8,"6,30",0,0,0,0,1,"0,79",2,"1,57",0,0,0,0,3.0,"2,36",1,"0,79",,,45,"32,85",85,"62,04",1,"0,73",2,"1,46",0,0,0,0,3,"2,19",1,"0,73",0,0,,0
Laigueglia,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740330,90,"16,89",14,"2,63",46,"8,63",14,"2,63",21,"3,94",1,"0,19",107,"20,08",45,"8,44",50,"9,38",57,"10,69",54,"10,13",7,"1,31",1,"0,19",1,"0,19",11,"2,06",1,"0,19",9,"1,69",1.0,"0,19",3,"0,56",,,202,"34,47",356,"60,75",2,"0,34",11,"1,88",1,"0,17",9,"1,54",1,"0,17",4,"0,68",0,0,,0
Loano,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740340,696,"18,66",83,"2,23",144,"3,86",140,"3,75",36,"0,97",16,"0,43",687,"18,42",83,"2,23",290,"7,77",668,"17,91",755,"20,24",21,"0,56",9,"0,24",11,"0,29",25,"0,67",12,"0,32",18,"0,48",17.0,"0,46",19,"0,51",,,1199,"30,37",2626,"66,51",14,"0,35",28,"0,71",13,"0,33",20,"0,51",18,"0,46",21,"0,53",9,"0,23",,0
Magliolo,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740350,65,"18,68",14,"4,02",23,"6,61",11,"3,16",11,"3,16",3,"0,86",75,"21,55",7,"2,01",37,"10,63",50,"14,37",36,"10,34",1,"0,29",0,0,1,"0,29",8,"2,30",1,"0,29",0,0,4.0,"1,15",1,"0,29",,,133,"36,64",216,"59,50",1,"0,28",7,"1,93",1,"0,28",0,0,4,"1,10",1,"0,28",0,0,,0
Mallare,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740360,74,"22,84",19,"5,86",7,"2,16",13,"4,01",4,"1,23",14,"4,32",30,"9,26",8,"2,47",57,"17,59",35,"10,80",44,"13,58",7,"2,16",1,"0,31",3,"0,93",2,"0,62",1,"0,31",4,"1,23",1.0,"0,31",0,0,,,154,"42,42",196,"53,99",3,"0,83",2,"0,55",2,"0,55",4,"1,10",1,"0,28",1,"0,28",0,0,,0
Massimino,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740370,1,"2,13",0,0,0,0,0,0,0,0,0,0,4,"8,51",0,0,2,"4,26",37,"78,72",1,"2,13",0,0,0,0,1,"2,13",0,0,1,"2,13",0,0,0.0,0,0,0,,,2,"4,17",44,"91,67",1,"2,08",0,0,0,0,0,0,0,0,0,0,1,"2,08",,0
Millesimo,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740380,363,"30,87",40,"3,40",29,"2,47",30,"2,55",10,"0,85",100,"8,50",208,"17,69",24,"2,04",150,"12,76",63,"5,36",101,"8,59",12,"1,02",1,"0,09",9,"0,77",17,"1,45",9,"0,77",3,"0,26",7.0,"0,60",0,0,,,589,"48,20",586,"47,95",8,"0,65",16,"1,31",8,"0,65",3,"0,25",9,"0,74",0,0,3,"0,25",,0
Mioglia,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740390,32,"17,20",5,"2,69",8,"4,30",12,"6,45",2,"1,08",9,"4,84",23,"12,37",2,"1,08",23,"12,37",54,"29,03",9,"4,84",0,0,0,0,2,"1,08",1,"0,54",2,"1,08",0,0,1.0,"0,54",1,"0,54",,,79,"38,35",117,"56,80",2,"0,97",1,"0,49",2,"0,97",0,0,2,"0,97",1,"0,49",2,"0,97",,0
Murialdo,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740400,101,"35,69",4,"1,41",23,"8,13",6,"2,12",0,0,19,"6,71",29,"10,25",10,"3,53",36,"12,72",27,"9,54",14,"4,95",5,"1,77",1,"0,35",0,0,1,"0,35",2,"0,71",1,"0,35",4.0,"1,41",0,0,,,161,"54,39",126,"42,57",0,0,2,"0,68",2,"0,68",1,"0,34",4,"1,35",0,0,0,0,,0
Nasino,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740410,15,"21,43",3,"4,29",2,"2,86",3,"4,29",0,0,0,0,6,"8,57",3,"4,29",9,"12,86",6,"8,57",21,"30,00",0,0,0,0,0,0,0,0,0,0,0,0,2.0,"2,86",0,0,,,23,"30,67",50,"66,67",0,0,0,0,0,0,0,0,2,"2,67",0,0,0,0,,0
Noli,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740420,307,"33,33",21,"2,28",43,"4,67",42,"4,56",8,"0,87",10,"1,09",153,"16,61",27,"2,93",96,"10,42",104,"11,29",74,"8,03",9,"0,98",2,"0,22",6,"0,65",7,"0,76",3,"0,33",0,0,6.0,"0,65",3,"0,33",,,450,"46,01",498,"50,92",8,"0,82",7,"0,72",6,"0,61",0,0,6,"0,61",3,"0,31",0,0,,0
Onzo,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740430,18,"18,37",8,"8,16",8,"8,16",0,0,1,"1,02",1,"1,02",11,"11,22",2,"2,04",7,"7,14",13,"13,27",26,"26,53",1,"1,02",0,0,1,"1,02",1,"1,02",0,0,0,0,0.0,0,0,0,,,39,"37,50",62,"59,62",1,"0,96",1,"0,96",0,0,0,0,0,0,0,0,1,"0,96",,0
Orco Feglino,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740440,104,"28,73",11,"3,04",22,"6,08",17,"4,70",5,"1,38",3,"0,83",50,"13,81",12,"3,31",42,"11,60",54,"14,92",27,"7,46",3,"0,83",0,0,0,0,4,"1,10",4,"1,10",0,0,2.0,"0,55",2,"0,55",,,173,"44,70",199,"51,42",2,"0,52",5,"1,29",4,"1,03",0,0,2,"0,52",2,"0,52",0,0,,0
Ortovero,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740450,110,"19,57",30,"5,34",35,"6,23",10,"1,78",5,"0,89",6,"1,07",70,"12,46",16,"2,85",103,"18,33",91,"16,19",65,"11,57",2,"0,36",1,"0,18",4,"0,71",4,"0,71",2,"0,36",0,0,1.0,"0,18",7,"1,25",,,195,"33,68",364,"62,87",4,"0,69",4,"0,69",2,"0,35",0,0,1,"0,17",8,"1,38",1,"0,17",,0
Osiglia,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740460,25,"18,38",6,"4,41",5,"3,68",7,"5,15",1,"0,74",5,"3,68",21,"15,44",1,"0,74",23,"16,91",9,"6,62",19,"13,97",6,"4,41",3,"2,21",2,"1,47",0,0,1,"0,74",0,0,1.0,"0,74",1,"0,74",,,49,"33,79",86,"59,31",3,"2,07",2,"1,38",1,"0,69",0,0,2,"1,38",1,"0,69",1,"0,69",,0
Pallare,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740470,62,"21,68",9,"3,15",4,"1,40",12,"4,20",2,"0,70",22,"7,69",43,"15,03",12,"4,20",38,"13,29",37,"12,94",34,"11,89",2,"0,70",0,0,1,"0,35",0,0,4,"1,40",1,"0,35",3.0,"1,05",0,0,,,119,"39,27",174,"57,43",1,"0,33",0,0,4,"1,32",1,"0,33",3,"0,99",0,0,1,"0,33",,0
Piana Crixia,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740480,48,"25,53",3,"1,60",8,"4,26",1,"0,53",1,"0,53",4,"2,13",34,"18,09",8,"4,26",27,"14,36",31,"16,49",15,"7,98",0,0,1,"0,53",1,"0,53",4,"2,13",0,0,1,"0,53",0.0,0,1,"0,53",,,69,"35,38",119,"61,03",1,"0,51",4,"2,05",0,0,1,"0,51",0,0,1,"0,51",0,0,,0
Pietra Ligure,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740490,602,"21,74",150,"5,42",126,"4,55",107,"3,86",56,"2,02",9,"0,33",725,"26,18",81,"2,93",230,"8,31",388,"14,01",184,"6,64",15,"0,54",4,"0,14",14,"0,51",25,"0,90",14,"0,51",10,"0,36",24.0,"0,87",5,"0,18",,,1112,"37,49",1741,"58,70",15,"0,51",32,"1,08",17,"0,57",10,"0,34",27,"0,91",4,"0,13",8,"0,27",,0
Plodio,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740500,69,"28,28",6,"2,46",7,"2,87",10,"4,10",2,"0,82",19,"7,79",40,"16,39",7,"2,87",26,"10,66",24,"9,84",29,"11,89",2,"0,82",2,"0,82",0,0,0,0,0,0,1,"0,41",0.0,0,0,0,,,116,"45,67",136,"53,54",0,0,0,0,0,0,1,"0,39",1,"0,39",0,0,0,0,,0
Pontinvrea,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740510,56,"14,89",14,"3,72",16,"4,26",21,"5,59",3,"0,80",5,"1,33",33,"8,78",4,"1,06",24,"6,38",173,"46,01",10,"2,66",3,"0,80",0,0,2,"0,53",3,"0,80",5,"1,33",0,0,3.0,"0,80",1,"0,27",,,120,"31,41",248,"64,92",2,"0,52",3,"0,79",5,"1,31",0,0,3,"0,79",1,"0,26",0,0,,0
Quiliano,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740520,1223,"44,10",129,"4,65",295,"10,64",158,"5,70",35,"1,26",33,"1,19",273,"9,84",44,"1,59",186,"6,71",108,"3,89",115,"4,15",11,"0,40",3,"0,11",61,"2,20",33,"1,19",29,"1,05",4,"0,14",24.0,"0,87",9,"0,32",,,1976,"66,69",815,"27,51",59,"1,99",35,"1,18",31,"1,05",6,"0,20",26,"0,88",11,"0,37",4,"0,13",,0
Rialto,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740530,52,"28,42",8,"4,37",11,"6,01",8,"4,37",3,"1,64",3,"1,64",36,"19,67",5,"2,73",17,"9,29",16,"8,74",11,"6,01",3,"1,64",0,0,3,"1,64",1,"0,55",3,"1,64",0,0,2.0,"1,09",1,"0,55",,,95,"46,57",97,"47,55",5,"2,45",1,"0,49",3,"1,47",0,0,2,"0,98",1,"0,49",0,0,,0
Roccavignale,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740540,88,"28,95",11,"3,62",7,"2,30",12,"3,95",1,"0,33",17,"5,59",38,"12,50",7,"2,30",68,"22,37",14,"4,61",32,"10,53",2,"0,66",0,0,1,"0,33",2,"0,66",1,"0,33",1,"0,33",1.0,"0,33",1,"0,33",,,141,"44,48",168,"53,00",2,"0,63",2,"0,63",1,"0,32",1,"0,32",1,"0,32",1,"0,32",0,0,,0
Sassello,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740550,166,"23,68",38,"5,42",44,"6,28",28,"3,99",5,"0,71",30,"4,28",50,"7,13",11,"1,57",123,"17,55",116,"16,55",49,"6,99",6,"0,86",0,0,8,"1,14",11,"1,57",8,"1,14",2,"0,29",5.0,"0,71",1,"0,14",,,336,"45,28",374,"50,40",7,"0,94",11,"1,48",5,"0,67",2,"0,27",5,"0,67",1,"0,13",1,"0,13",,0
Savona,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740560,7505,"36,01",895,"4,29",1878,"9,01",1117,"5,36",479,"2,30",240,"1,15",2829,"13,57",453,"2,17",2090,"10,03",1099,"5,27",1174,"5,63",104,"0,50",48,"0,23",193,"0,93",286,"1,37",220,"1,06",78,"0,37",102.0,"0,49",53,"0,25",,,12932,"57,96",8373,"37,53",208,"0,93",295,"1,32",204,"0,91",90,"0,40",107,"0,48",59,"0,26",43,"0,19",,0
Spotorno,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740570,426,"33,07",38,"2,95",72,"5,59",32,"2,48",21,"1,63",9,"0,70",220,"17,08",32,"2,48",153,"11,88",82,"6,37",151,"11,72",9,"0,70",2,"0,16",8,"0,62",10,"0,78",12,"0,93",1,"0,08",8.0,"0,62",2,"0,16",,,624,"44,80",723,"51,90",9,"0,65",10,"0,72",16,"1,15",1,"0,07",7,"0,50",2,"0,14",1,"0,07",,0
Stella,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740580,300,"26,98",27,"2,43",71,"6,38",84,"7,55",14,"1,26",24,"2,16",113,"10,16",25,"2,25",149,"13,40",133,"11,96",101,"9,08",5,"0,45",0,0,10,"0,90",15,"1,35",14,"1,26",14,"1,26",12.0,"1,08",1,"0,09",,,554,"46,17",572,"47,67",11,"0,92",17,"1,42",11,"0,92",16,"1,33",14,"1,17",2,"0,17",3,"0,25",,0
Stellanello,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740590,41,"15,19",4,"1,48",22,"8,15",20,"7,41",2,"0,74",0,0,62,"22,96",21,"7,78",17,"6,30",36,"13,33",35,"12,96",0,0,2,"0,74",0,0,3,"1,11",1,"0,37",0,0,0.0,0,4,"1,48",,,92,"32,06",184,"64,11",1,"0,35",3,"1,05",2,"0,70",0,0,0,0,4,"1,39",1,"0,35",,0
Testico,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740600,5,"6,76",1,"1,35",8,"10,81",2,"2,70",0,0,0,0,6,"8,11",9,"12,16",10,"13,51",17,"22,97",12,"16,22",0,0,3,"4,05",0,0,0,0,0,0,0,0,0.0,0,1,"1,35",,,16,"21,05",57,"75,00",0,0,0,0,1,"1,32",0,0,0,0,1,"1,32",1,"1,32",,0
Toirano,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740610,172,"17,34",23,"2,32",53,"5,34",34,"3,43",13,"1,31",4,"0,40",191,"19,25",16,"1,61",113,"11,39",204,"20,56",124,"12,50",5,"0,50",1,"0,10",6,"0,60",8,"0,81",7,"0,71",2,"0,20",7.0,"0,71",9,"0,91",,,323,"30,36",700,"65,79",6,"0,56",8,"0,75",8,"0,75",2,"0,19",8,"0,75",9,"0,85",0,0,,0
Tovo San Giacomo,Savona,Liguria,https://elezioni.interno.gov.it/risultati/20241117/regionali/scrutini/italia/070740620,176,"17,74",47,"4,74",56,"5,65",35,"3,53",28,"2,82",4,"0,40",206,"20,77",31,"3,13",104,"10,48",145,"14,62",105,"10,58",6,"0,60",2,"0,20",8,"0,81",18,"1,81",7,"0,71",3,"0,30",9.0,"0,91",2,"0,20",,,366,"35,06",627,"60,06",8,"0,77",19,"1,82",8,"0,77",3,"0,29",9,"0,86",2,"0,19",2,"0,19",,0
