comune,provincia,regione,MICHELE DE PASCALE_total_votes,MICHELE DE PASCALE_total_perc,ELENA UGOLINI_total_votes,ELENA UGOLINI_total_perc,left_right_index
Neviano Degli Arduini,Parma,Emilia-Romagna,592,"45,19",670,"51,15",0.061806656101426306
Noceto,Parma,Emilia-Romagna,2054,"43,24",2603,"54,80",0.11788705175005368
Palanzano,Parma,Emilia-Romagna,170,"39,72",252,"58,88",0.1943127962085308
Parma,Parma,Emilia-Romagna,36828,"55,99",27012,"41,06",-0.1537593984962406
Pellegrino Parmense,Parma,Emilia-Romagna,127,"40,97",177,"57,10",0.16447368421052633
Polesine Zibello,Parma,Emilia-Romagna,310,"35,39",546,"62,33",0.2757009345794392
Roccabianca,Parma,Emilia-Romagna,423,"48,62",411,"47,24",-0.014388489208633094
Sala Baganza,Parma,Emilia-Romagna,1118,"56,58",800,"40,49",-0.16579770594369134
Salsomaggiore Terme,Parma,Emilia-Romagna,3070,"50,39",2893,"47,48",-0.02968304544692269
San Secondo Parmense,Parma,Emilia-Romagna,961,"49,90",905,"46,99",-0.030010718113612004
Sissa Trecasali,Parma,Emilia-Romagna,1082,"45,42",1230,"51,64",0.06401384083044982
Solignano,Parma,Emilia-Romagna,253,"44,54",298,"52,46",0.08166969147005444
Soragna,Parma,Emilia-Romagna,716,"39,32",1059,"58,15",0.19323943661971832
Sorbolo Mezzani,Parma,Emilia-Romagna,2078,"52,36",1763,"44,42",-0.08200989325696434
Terenzo,Parma,Emilia-Romagna,174,"45,19",200,"51,95",0.06951871657754011
Tizzano Val Parma,Parma,Emilia-Romagna,387,"47,20",400,"48,78",0.016518424396442185
Tornolo,Parma,Emilia-Romagna,157,"37,20",263,"62,32",0.2523809523809524
Torrile,Parma,Emilia-Romagna,1054,"50,62",913,"43,85",-0.07168276563294357
Traversetolo,Parma,Emilia-Romagna,1388,"40,94",1869,"55,13",0.1476819158735032
Valmozzola,Parma,Emilia-Romagna,72,"40,45",98,"55,06",0.15294117647058825
Varano De' Melegari,Parma,Emilia-Romagna,468,"47,71",497,"50,66",0.03005181347150259
Varsi,Parma,Emilia-Romagna,151,"37,94",241,"60,55",0.22959183673469388
Agazzano,Piacenza,Emilia-Romagna,251,"37,02",405,"59,73",0.2347560975609756
Alseno,Piacenza,Emilia-Romagna,548,"32,60",1100,"65,44",0.33495145631067963
Alta Val Tidone,Piacenza,Emilia-Romagna,358,"31,38",752,"65,91",0.35495495495495494
Besenzone,Piacenza,Emilia-Romagna,88,"25,51",253,"73,33",0.4838709677419355
Bettola,Piacenza,Emilia-Romagna,305,"29,99",688,"67,65",0.3856998992950655
Bobbio,Piacenza,Emilia-Romagna,569,"39,38",849,"58,75",0.19746121297602257
Borgonovo Val Tidone,Piacenza,Emilia-Romagna,780,"36,97",1296,"61,42",0.24855491329479767
Cadeo,Piacenza,Emilia-Romagna,645,"36,65",1083,"61,53",0.2534722222222222
Calendasco,Piacenza,Emilia-Romagna,322,"40,71",448,"56,64",0.16363636363636364
Caorso,Piacenza,Emilia-Romagna,531,"35,98",910,"61,65",0.2630117973629424
Carpaneto Piacentino,Piacenza,Emilia-Romagna,852,"30,57",1881,"67,49",0.3765093304061471
Castell'Arquato,Piacenza,Emilia-Romagna,619,"36,37",1037,"60,93",0.2524154589371981
Castel San Giovanni,Piacenza,Emilia-Romagna,1294,"34,11",2432,"64,10",0.3054213633923779
Castelvetro Piacentino,Piacenza,Emilia-Romagna,900,"51,84",791,"45,56",-0.06445890005913661
Cerignale,Piacenza,Emilia-Romagna,24,"39,34",34,"55,74",0.1724137931034483
Coli,Piacenza,Emilia-Romagna,146,"40,44",206,"57,06",0.17045454545454544
Corte Brugnatella,Piacenza,Emilia-Romagna,76,"31,67",157,"65,42",0.34763948497854075
Cortemaggiore,Piacenza,Emilia-Romagna,527,"34,42",976,"63,75",0.2987358616101131
Farini,Piacenza,Emilia-Romagna,124,"27,62",321,"71,49",0.44269662921348313
Ferriere,Piacenza,Emilia-Romagna,119,"25,05",349,"73,47",0.49145299145299143
Fiorenzuola D'Arda,Piacenza,Emilia-Romagna,2263,"46,26",2512,"51,35",0.05214659685863875
Gazzola,Piacenza,Emilia-Romagna,342,"39,86",484,"56,41",0.17191283292978207
Gossolengo,Piacenza,Emilia-Romagna,975,"46,32",1055,"50,12",0.03940886699507389
Gragnano Trebbiense,Piacenza,Emilia-Romagna,613,"45,78",687,"51,31",0.05692307692307692
Gropparello,Piacenza,Emilia-Romagna,257,"32,91",507,"64,92",0.32722513089005234
Lugagnano Val D'Arda,Piacenza,Emilia-Romagna,497,"35,32",890,"63,26",0.28334534967555874
Monticelli D'Ongina,Piacenza,Emilia-Romagna,919,"50,00",877,"47,71",-0.02338530066815145
Morfasso,Piacenza,Emilia-Romagna,88,"26,75",236,"71,73",0.4567901234567901
Ottone,Piacenza,Emilia-Romagna,38,"33,33",75,"65,79",0.3274336283185841
Piacenza,Piacenza,Emilia-Romagna,15116,"46,15",16643,"50,82",0.048080858969111115
Pianello Val Tidone,Piacenza,Emilia-Romagna,224,"31,59",468,"66,01",0.35260115606936415
Piozzano,Piacenza,Emilia-Romagna,81,"35,37",133,"58,08",0.24299065420560748
Podenzano,Piacenza,Emilia-Romagna,1199,"37,72",1943,"61,12",0.23679185232336092
Ponte Dell'Olio,Piacenza,Emilia-Romagna,645,"38,26",1011,"59,96",0.2210144927536232
Pontenure,Piacenza,Emilia-Romagna,858,"42,31",1093,"53,90",0.12045105074320861
Rivergaro,Piacenza,Emilia-Romagna,1123,"44,97",1315,"52,66",0.07875307629204266
Rottofreno,Piacenza,Emilia-Romagna,1478,"41,15",2027,"56,43",0.15663338088445078
San Giorgio Piacentino,Piacenza,Emilia-Romagna,638,"30,50",1406,"67,21",0.37573385518590996
San Pietro In Cerro,Piacenza,Emilia-Romagna,77,"28,84",184,"68,91",0.4099616858237548
Sarmato,Piacenza,Emilia-Romagna,319,"41,86",430,"56,43",0.14819759679572764
Travo,Piacenza,Emilia-Romagna,598,"60,47",371,"37,51",-0.23426212590299278
Vernasca,Piacenza,Emilia-Romagna,340,"45,76",385,"51,82",0.06206896551724138
Vigolzone,Piacenza,Emilia-Romagna,503,"33,76",959,"64,36",0.3119015047879617
Villanova Sull'Arda,Piacenza,Emilia-Romagna,258,"45,26",291,"51,05",0.060109289617486336
Zerba,Piacenza,Emilia-Romagna,12,"36,36",20,"60,61",0.25
Ziano Piacentino,Piacenza,Emilia-Romagna,292,"35,18",509,"61,33",0.27091136079900124
Alfonsine,Ravenna,Emilia-Romagna,2859,"64,51",1411,"31,84",-0.33911007025761125
Bagnacavallo,Ravenna,Emilia-Romagna,3899,"57,42",2649,"39,01",-0.19089798411728773
