comune,provincia,regione,MARCO BUCCI_total_votes,MARCO BUCCI_total_perc,ANDREA ORLANDO_total_votes,ANDREA ORLANDO_total_perc,left_right_index
Osiglia,Savona,Liguria,86,"59,31",49,"33,79",0.2740740740740741
Pallare,Savona,Liguria,174,"57,43",119,"39,27",0.18771331058020477
Piana Crixia,Savona,Liguria,119,"61,03",69,"35,38",0.26595744680851063
Pietra Ligure,Savona,Liguria,1741,"58,70",1112,"37,49",0.2204696810375044
Plodio,Savona,Liguria,136,"53,54",116,"45,67",0.07936507936507936
Pontinvrea,Savona,Liguria,248,"64,92",120,"31,41",0.34782608695652173
Quiliano,Savona,Liguria,815,"27,51",1976,"66,69",-0.41597993550698675
Rialto,Savona,Liguria,97,"47,55",95,"46,57",0.010416666666666666
Roccavignale,Savona,Liguria,168,"53,00",141,"44,48",0.08737864077669903
Sassello,Savona,Liguria,374,"50,40",336,"45,28",0.05352112676056338
Savona,Savona,Liguria,8373,"37,53",12932,"57,96",-0.21398732691856373
Spotorno,Savona,Liguria,723,"51,90",624,"44,80",0.07349665924276169
Stella,Savona,Liguria,572,"47,67",554,"46,17",0.015985790408525755
Stellanello,Savona,Liguria,184,"64,11",92,"32,06",0.3333333333333333
Testico,Savona,Liguria,57,"75,00",16,"21,05",0.5616438356164384
Toirano,Savona,Liguria,700,"65,79",323,"30,36",0.36852394916911047
Tovo San Giacomo,Savona,Liguria,627,"60,06",366,"35,06",0.2628398791540785
Urbe,Savona,Liguria,146,"51,05",129,"45,10",0.06181818181818182
Vado Ligure,Savona,Liguria,963,"31,18",1888,"61,12",-0.3244475622588565
Varazze,Savona,Liguria,3203,"58,88",2036,"37,43",0.2227524336705478
Vendone,Savona,Liguria,91,"59,09",58,"37,66",0.2214765100671141
Vezzi Portio,Savona,Liguria,129,"42,16",168,"54,90",-0.13131313131313133
Villanova D'Albenga,Savona,Liguria,629,"58,40",404,"37,51",0.21781219748305905
Zuccarello,Savona,Liguria,92,"62,16",54,"36,49",0.2602739726027397
